Kleidung:
eaglkes_wwi_fr_pilot_cloth; (brauner Ganzkörperanzug mit weißem Schall)
eaglkes_wwi_ger_pilot_cloth; (grauer Ganzkörperanzug mit weißerm Schall)
rds_uniform_priest; (Priesterkleidung)
rds_uniform_Profiteer1; (Joggingshose mit grauer Strickjacke)
rds_uniform_Profiteer2; (Joggingshose mit blauer Strickjacke)
rds_uniform_Profiteer3; (Joggingshose mit brauner Strickjacke)
rds_uniform_Profiteer4; (Joggingshose mit orangkarierter Strickjacke)
sab_SikorskyS38_Man_Shirt; (graues T-Shirt mit beiger Hose)
rds_uniform_schoolteacher; (langer blauer Mantel mit schwarzer Hose)
rds_uniform_Villager1; (Holzfäller Hemd mit blauer Hose)
rds_uniform_Villager2; (gelbes Holzfäller Hemd mit blauer Hose)
rds_uniform_Villager3; (grünes Holzfäller Hemd mit brauner Hose)
rds_uniform_Villager4; (weißes Holzfäller Hemd mit beiger Hose)
rds_uniform_Woodlander1; (osteuropäischer Stile)
rds_uniform_Woodlander2; (")
rds_uniform_Woodlander3; (")
rds_uniform_Woodlander4; (")
rds_uniform_Worker1; (Leiharbeiter Kleidung)
rds_uniform_Worker2; (")
rds_uniform_Worker3; (")
rds_uniform_Worker4; (")
TRYK_B_TRYK_3C_T    T-Shirt hose mit wüstentan
TRYK_U_B_ARO1_BLK_CombatUniform     Hose mit wüstentan / schwarze jacke
TRYK_U_B_ARO1_BLK_R_CombatUniform   Hose mit wüstentan / schwarze jacke kurzen armen
TRYK_U_B_ARO1_CBR_CombatUniform     hose mit wüstentan / braune jacke
TRYK_U_B_ARO1_CBR_R_CombatUniform   hose mit wüstentan / braune jacke kurze armen
TRYK_U_B_ARO1_GR_CombatUniform      hose mit wüstentan / grüne jacke
TRYK_U_B_ARO1_GR_R_CombatUniform    hose mit wüstentan / grüne jacke kurze arme
TRYK_U_B_ARO1_GRY_CombatUniform     hose mit wüstentan / graue jacke
TRYK_U_B_ARO1_GRY_R_CombatUniform   hose mit wüstentan / graue jacke kurze arme
TRYK_DMARPAT_T			    t-shirt braun / hose wüstentan
TRYK_C_AOR2_T			    t-shirt schwarz / mit hose grün tan
TRYK_U_B_AOR2_BLK_CombatUniform     hose mit grüntan / schwarze jacke
TRYK_U_B_AOR2_BLK_R_CombatUniform   hose mit grüntan / schwarze jacke / kurz arme
TRYK_U_B_AOR2_GRY_CombatUniform     hose mit grüntan / graue jacke
TRYK_U_B_AOR2_GRY_R_CombatUniform   hose mit grüntan / graue jacke / kurze arme
TRYK_U_B_AOR2_OD_CombatUniform      hose mit grüntan / grüne jacke
TRYK_U_B_AOR2_OD_R_CombatUniform    hose mit grüntan / grüne jacke / kurze arme
TRYK_U_B_PCUHsW3nh 					hose mit schwarz / schwarze jacke
TRYK_U_B_PCUHsW3					hose mit schwarz / schwarz jacke / kaputze
TRYK_U_B_BLKBLK_CombatUniform		hose mit schwarz / schwarz t-shirt / schwarze handschuhe
TRYK_U_B_BLKBLK_R_CombatUniform		hose mit schwarz / schwarz t-shirt / kurze arme / schwarze handschuhe
TRYK_U_B_BLKOCP_CombatUniform		hose mit mtp / schwarz t-shirt / schwarze handschuhe
TRYK_U_B_BLKOCP_R_CombatUniformTshirt hose mit mtp / schwarz t-shirt / kurz handschuhe / schwarze handschuhe
TRYK_U_B_BLOD_T						hose mit grün / t-shirt schwarz / schwarz handschuhe
TRYK_U_B_BLKTAN_CombatUniform		hose mit braun / t-shirt schwarz / schwarz handschuhe
TRYK_U_B_BLKTANR_CombatUniformTshirt hose mit braun / t-shirt schwarz / kurz arme
TRYK_U_B_BLTAN_T					hose braun / schwarz t-shirt / braun handschuhe protektoren
TRYK_U_B_C01_Tsirt					hose grünbrauntan / t-shirt schwarz / handschuhe schwarz
TRYK_U_B_C02_Tsirt					jeans blau / t-shirt schwarz
TRYK_U_B_BLK3CD						hose wüstentan / schwarz jacke / braun handschuhe protektoren
TRYK_U_B_BLK3CD_Tshirt				hose wüstentan / schwarz jacke / braun handschuhe protektoren / kurze arme
TRYK_U_B_BLKTAN_Tshirt				hose braun / schwarz jacke / kurze arme / braun handschuhe protektoren
TRYK_U_B_BLKTAN						hose braun / schwarz jacke / braun handschuhe protektoren
TRYK_U_B_BLK						hose schwarz / schwarze jacke / schwarz handschuhe protektoren
TRYK_U_B_BLK_Tshirt					hose schwarz / schwarz jacke / kurze arme / handschuhe schwarz protektoren
TRYK_U_B_BLK_OD_Tshirt				hose grün / schwarz jacke / braun handschuhe protektoren / kurz arme
TRYK_U_B_BLK_OD						hose grün / schwarz jacke 7 handschuhe braun protektoren
TRYK_U_B_OD_BLK_2					hose schwarz / graue jacke / kurz arme / handschuhe weiß protektoren
TRYK_U_B_OD_BLK						hose schwarz / graue jacke / handschuhe weiß protektoren
TRYK_U_B_ODTAN_Tshirt				hose braun / graue jacke / kurz arme / handschuhe weiß protektoren
TRYK_U_B_ODTAN						hose braun / graue jacke / handschuhe weiß protektoren
TRYK_U_B_Sage_Tshirt				hose dreck / t-shirt dreck / handschuhe schwarz protektoren
TRYK_U_B_BLK_TAN_1					hose schwarz / braun jacke / handschuhe weiß protektoren
TRYK_U_B_BLK_TAN_2					hose schwarz / jacke braun / kurz arme / handschuhe weiß protektoren
TRYK_U_B_fleece						hose mtp knieschoner / graue jacke kaputze / braun handschuhe protektoren
